TEMP [deg C],PSAL [psu],DOXY [ml/l],NTRA [umol/l],PHOS [umol/l],SLCA [umol/l]
6.304,34.9835,6.11,14.3,0.96,8
6.3118,34.9828,6.13,14.2,0.96,8.9
6.3141,34.9828,6.16,14.1,0.96,6.9
6.3516,34.9855,6.18,14.3,0.97,6.6
3.5948,34.652,6.71,12.6,0.88,6.1
-0.0972,34.9071,6.73,13.2,0.94,8
0.7374,34.3158,7.29,12.4,0.93,9
0.7668,34.3196,7.3,12.5,0.95,9
0.8487,34.3329,7.24,12.4,0.96,9.3
0.8388,34.3425,7.41,12.5,0.97,9.1
0.7743,34.3471,8.11,12.1,0.95,8.8
0.7486,34.3082,7.21,12.6,0.98,9.1
0.8141,34.3136,7.18,11.8,0.93,8.6
0.8145,34.3136,7.2,11.8,0.93,8.9
0.8341,34.3154,7.26,12.5,0.96,9.1
0.8447,34.3166,7.59,11.1,0.9,8.2
1.2252,34.2689,6.99,12.6,0.94,9.3
1.4681,34.3695,6.99,12.7,0.95,8.8
1.4539,34.3773,7,12.2,0.92,8.6
1.4346,34.3983,7.09,11.9,0.92,8.8
1.7344,34.4696,7.37,12.6,1,9.7
1.193,34.3706,7.04,12.5,0.94,9
1.2035,34.3697,7.05,12.7,0.94,8.9
1.2458,34.3768,7.05,12.8,0.94,8.9
1.3761,34.4106,7.07,12,0.93,8.4
1.5234,34.4417,7.11,12.9,0.96,9.2
-0.1348,33.6226,7.61,12.6,0.95,11.9
0.2858,33.9848,7.68,12.6,0.98,10.2
0.2724,33.9677,7.69,12.8,1.02,10.6
0.2226,34.0497,7.63,12.9,0.98,10
0.2891,34.0545,7.63,12.8,0.97,10
0.3208,34.0586,7.63,12.7,0.94,9.9
0.2514,34.0872,7.77,12.5,0.94,9.6
0.6487,34.1778,7.66,12.8,0.95,9.4
1.1938,34.3703,7.54,12.7,0.95,8.8
2.236,31.3922,7.24,12.1,0.85,23.9
2.9863,34.4894,6.95,12,0.87,8.2
3.0281,34.5073,6.92,12.6,0.94,8.6
2.7622,34.0685,7.02,11.3,0.91,10.2
2.9236,34.442,6.98,12.6,0.91,8.9
2.9459,34.4718,6.97,12.7,0.92,8.8
3.1113,34.5292,6.97,11.6,0.88,7.6
2.6302,34.0749,7.05,12.6,0.94,11.6
2.9214,34.4517,6.98,12.6,0.93,8.9
3.1459,34.5413,6.96,12.6,0.91,8.1
2.8046,34.3994,7.02,12.6,0.91,9.4
2.8119,34.4073,7.01,12.5,0.91,9.1
2.8566,34.4379,7,12.4,0.91,8.8
3.0464,34.5093,6.96,12.4,0.9,8.2
2.5809,34.257,7.05,12.7,0.92,10.5
2.7829,34.4095,7.02,12.1,0.9,8.9
3.1265,34.5399,6.98,12.5,0.91,8
3.1228,34.5381,6.98,12.6,0.92,8
2.5799,34.3263,7.06,12.5,0.91,9.7
2.6316,34.3453,7.06,12.4,0.9,9.4
2.9594,34.4944,7.02,12.4,0.89,8.1
3.1523,34.5531,6.94,12.5,0.92,8
2.3614,33.9103,7.14,12.4,0.9,11
2.6692,34.3696,7.08,12.5,0.9,8.8
2.9041,34.4839,7.05,12.3,0.88,7.8
3.028,34.5475,7.01,12.5,0.89,7.6
3.0118,34.5786,7.05,12.4,0.89,7.6
2.3398,34.1664,7.11,12.3,0.89,10.3
2.4351,34.2705,7.08,12.5,0.9,9.9
2.5283,34.3232,7.08,12.5,0.9,9.6
3.1264,34.5585,7,12.3,0.88,7.5
3.1874,34.5717,6.94,12.1,0.93,8.4
2.4612,34.2955,7.11,11.9,0.88,9.5
2.4815,34.3907,7.14,12.3,0.89,9
2.396,34.4193,7.19,12.4,0.89,8.5
2.7745,34.5463,7.16,12.3,0.88,7.7
2.4753,34.3276,7.12,11.9,0.87,9.2
2.7838,34.4963,7.1,12.4,0.89,8.2
2.8432,34.5128,7.08,12,0.88,7.8
2.3633,34.459,7.21,12.3,0.88,8
2.5506,34.5131,7.18,12.3,0.89,7.6
2.9636,34.5992,7.12,12.2,0.87,7.1
3.0018,34.6614,7.03,12.4,0.88,7.1
2.9598,34.7234,6.95,12.1,0.87,7
2.2178,34.3498,7.22,12.1,0.88,8.6
2.2826,34.4335,7.22,12.2,0.88,8.2
2.3767,34.4606,7.21,12.2,0.88,8
3.0169,34.6116,7.09,12.3,0.89,7.3
